French_Muni;Swiss_Muni;local_admin_unit_id_from;local_admin_unit_id_to;nb_vehicles
Fortschwihr - Rhin (Haut-) - fr-68095;Basel - Bâle-Ville - ch-2701;fr-68095;ch-2701;1.163530889
Franken - Rhin (Haut-) - fr-68096;Basel - Bâle-Ville - ch-2701;fr-68096;ch-2701;2.884210114
Fréland - Rhin (Haut-) - fr-68097;Basel - Bâle-Ville - ch-2701;fr-68097;ch-2701;1.289514541
Friesen - Rhin (Haut-) - fr-68098;Basel - Bâle-Ville - ch-2701;fr-68098;ch-2701;4.320214899
Frœningen - Rhin (Haut-) - fr-68099;Basel - Bâle-Ville - ch-2701;fr-68099;ch-2701;5.90838691
Fulleren - Rhin (Haut-) - fr-68100;Basel - Bâle-Ville - ch-2701;fr-68100;ch-2701;2.54402508
Galfingue - Rhin (Haut-) - fr-68101;Basel - Bâle-Ville - ch-2701;fr-68101;ch-2701;21.34812481
Geishouse - Rhin (Haut-) - fr-68102;Basel - Bâle-Ville - ch-2701;fr-68102;ch-2701;1.106636918
Geispitzen - Rhin (Haut-) - fr-68103;Basel - Bâle-Ville - ch-2701;fr-68103;ch-2701;13.0301866
Gildwiller - Rhin (Haut-) - fr-68105;Basel - Bâle-Ville - ch-2701;fr-68105;ch-2701;2.18922656
Goldbach-Altenbach - Rhin (Haut-) - fr-68106;Basel - Bâle-Ville - ch-2701;fr-68106;ch-2701;0.718305153
Gommersdorf - Rhin (Haut-) - fr-68107;Basel - Bâle-Ville - ch-2701;fr-68107;ch-2701;2.46612377
Griesbach-au-Val - Rhin (Haut-) - fr-68109;Basel - Bâle-Ville - ch-2701;fr-68109;ch-2701;0.704869395
Grussenheim - Rhin (Haut-) - fr-68110;Basel - Bâle-Ville - ch-2701;fr-68110;ch-2701;0.868609133
Gueberschwihr - Rhin (Haut-) - fr-68111;Basel - Bâle-Ville - ch-2701;fr-68111;ch-2701;2.02446339
Guebwiller - Rhin (Haut-) - fr-68112;Basel - Bâle-Ville - ch-2701;fr-68112;ch-2701;24.50613222
Guebwiller - Rhin (Haut-) - fr-68112;Delémont - Jura - ch-6711;fr-68112;ch-6711;0.536243735
Guémar - Rhin (Haut-) - fr-68113;Basel - Bâle-Ville - ch-2701;fr-68113;ch-2701;1.412511106
Guevenatten - Rhin (Haut-) - fr-68114;Basel - Bâle-Ville - ch-2701;fr-68114;ch-2701;1.142552548
Guewenheim - Rhin (Haut-) - fr-68115;Basel - Bâle-Ville - ch-2701;fr-68115;ch-2701;3.167878201
Gundolsheim - Rhin (Haut-) - fr-68116;Basel - Bâle-Ville - ch-2701;fr-68116;ch-2701;1.675056704
Gunsbach - Rhin (Haut-) - fr-68117;Basel - Bâle-Ville - ch-2701;fr-68117;ch-2701;0.796089528
Habsheim - Rhin (Haut-) - fr-68118;Basel - Bâle-Ville - ch-2701;fr-68118;ch-2701;113.4265195
Habsheim - Rhin (Haut-) - fr-68118;Riehen - Bâle-Ville - ch-2703;fr-68118;ch-2703;2.239027257
Habsheim - Rhin (Haut-) - fr-68118;Boncourt - Jura - ch-6774;fr-68118;ch-6774;1.171833027
Habsheim - Rhin (Haut-) - fr-68118;Delémont - Jura - ch-6711;fr-68118;ch-6711;2.482001642
Habsheim - Rhin (Haut-) - fr-68118;Haute-Sorne - Jura - ch-6729;fr-68118;ch-6729;0.772867758
Habsheim - Rhin (Haut-) - fr-68118;Porrentruy - Jura - ch-6800;fr-68118;ch-6800;2.239453293
Hagenbach - Rhin (Haut-) - fr-68119;Basel - Bâle-Ville - ch-2701;fr-68119;ch-2701;5.330534966
Hagenthal-le-Bas - Rhin (Haut-) - fr-68120;Basel - Bâle-Ville - ch-2701;fr-68120;ch-2701;29.39904371
Hagenthal-le-Haut - Rhin (Haut-) - fr-68121;Basel - Bâle-Ville - ch-2701;fr-68121;ch-2701;17.53595283
Hartmannswiller - Rhin (Haut-) - fr-68122;Basel - Bâle-Ville - ch-2701;fr-68122;ch-2701;1.612660167
Hattstatt - Rhin (Haut-) - fr-68123;Basel - Bâle-Ville - ch-2701;fr-68123;ch-2701;2.010357679
Hausgauen - Rhin (Haut-) - fr-68124;Basel - Bâle-Ville - ch-2701;fr-68124;ch-2701;2.854304001
Hecken - Rhin (Haut-) - fr-68125;Basel - Bâle-Ville - ch-2701;fr-68125;ch-2701;3.962236407
Hégenheim - Rhin (Haut-) - fr-68126;Basel - Bâle-Ville - ch-2701;fr-68126;ch-2701;70.64784101
Hégenheim - Rhin (Haut-) - fr-68126;Riehen - Bâle-Ville - ch-2703;fr-68126;ch-2703;1.394580759
Hégenheim - Rhin (Haut-) - fr-68126;Boncourt - Jura - ch-6774;fr-68126;ch-6774;0.729877578
Hégenheim - Rhin (Haut-) - fr-68126;Delémont - Jura - ch-6711;fr-68126;ch-6711;1.54591764
Hégenheim - Rhin (Haut-) - fr-68126;Porrentruy - Jura - ch-6800;fr-68126;ch-6800;1.394846116
Heidwiller - Rhin (Haut-) - fr-68127;Basel - Bâle-Ville - ch-2701;fr-68127;ch-2701;4.770388593
Heimersdorf - Rhin (Haut-) - fr-68128;Basel - Bâle-Ville - ch-2701;fr-68128;ch-2701;5.122462565
Heimsbrunn - Rhin (Haut-) - fr-68129;Basel - Bâle-Ville - ch-2701;fr-68129;ch-2701;36.39221635
Heiteren - Rhin (Haut-) - fr-68130;Basel - Bâle-Ville - ch-2701;fr-68130;ch-2701;1.042583427
Heiwiller - Rhin (Haut-) - fr-68131;Basel - Bâle-Ville - ch-2701;fr-68131;ch-2701;1.326319741
Helfrantzkirch - Rhin (Haut-) - fr-68132;Basel - Bâle-Ville - ch-2701;fr-68132;ch-2701;19.47885305
Herrlisheim-près-Colmar - Rhin (Haut-) - fr-68134;Basel - Bâle-Ville - ch-2701;fr-68134;ch-2701;1.763774418
Hésingue - Rhin (Haut-) - fr-68135;Basel - Bâle-Ville - ch-2701;fr-68135;ch-2701;62.20822727
Hésingue - Rhin (Haut-) - fr-68135;Riehen - Bâle-Ville - ch-2703;fr-68135;ch-2703;1.227983695
Hésingue - Rhin (Haut-) - fr-68135;Delémont - Jura - ch-6711;fr-68135;ch-6711;1.361241823
Hésingue - Rhin (Haut-) - fr-68135;Porrentruy - Jura - ch-6800;fr-68135;ch-6800;1.228217352
Hindlingen - Rhin (Haut-) - fr-68137;Basel - Bâle-Ville - ch-2701;fr-68137;ch-2701;4.3993866
Hirsingue - Rhin (Haut-) - fr-68138;Basel - Bâle-Ville - ch-2701;fr-68138;ch-2701;14.90709881
Hirtzbach - Rhin (Haut-) - fr-68139;Basel - Bâle-Ville - ch-2701;fr-68139;ch-2701;10.64756704
Hirtzfelden - Rhin (Haut-) - fr-68140;Basel - Bâle-Ville - ch-2701;fr-68140;ch-2701;1.350777231
Hochstatt - Rhin (Haut-) - fr-68141;Basel - Bâle-Ville - ch-2701;fr-68141;ch-2701;16.2171192
Porte du Ried - Rhin (Haut-) - fr-68143;Basel - Bâle-Ville - ch-2701;fr-68143;ch-2701;1.787972457
Hombourg - Rhin (Haut-) - fr-68144;Basel - Bâle-Ville - ch-2701;fr-68144;ch-2701;33.11028403
Horbourg-Wihr - Rhin (Haut-) - fr-68145;Basel - Bâle-Ville - ch-2701;fr-68145;ch-2701;5.839754071
Houssen - Rhin (Haut-) - fr-68146;Basel - Bâle-Ville - ch-2701;fr-68146;ch-2701;2.114137001
Hunawihr - Rhin (Haut-) - fr-68147;Basel - Bâle-Ville - ch-2701;fr-68147;ch-2701;0.502586803
Hundsbach - Rhin (Haut-) - fr-68148;Basel - Bâle-Ville - ch-2701;fr-68148;ch-2701;2.727025245
Huningue - Rhin (Haut-) - fr-68149;Basel - Bâle-Ville - ch-2701;fr-68149;ch-2701;125.4851877
Huningue - Rhin (Haut-) - fr-68149;Riehen - Bâle-Ville - ch-2703;fr-68149;ch-2703;2.477064066
Huningue - Rhin (Haut-) - fr-68149;Boncourt - Jura - ch-6774;fr-68149;ch-6774;1.296413642
Huningue - Rhin (Haut-) - fr-68149;Delémont - Jura - ch-6711;fr-68149;ch-6711;2.745869689
Huningue - Rhin (Haut-) - fr-68149;Haute-Sorne - Jura - ch-6729;fr-68149;ch-6729;0.855033338
Huningue - Rhin (Haut-) - fr-68149;Le Noirmont - Jura - ch-6754;fr-68149;ch-6754;0.803216105
Huningue - Rhin (Haut-) - fr-68149;Les Breuleux - Jura - ch-6743;fr-68149;ch-6743;0.549029328
Huningue - Rhin (Haut-) - fr-68149;Porrentruy - Jura - ch-6800;fr-68149;ch-6800;2.477535395
Husseren-Wesserling - Rhin (Haut-) - fr-68151;Basel - Bâle-Ville - ch-2701;fr-68151;ch-2701;2.518659006
Illfurth - Rhin (Haut-) - fr-68152;Basel - Bâle-Ville - ch-2701;fr-68152;ch-2701;18.02337493
Illhaeusern - Rhin (Haut-) - fr-68153;Basel - Bâle-Ville - ch-2701;fr-68153;ch-2701;0.679925132
Illzach - Rhin (Haut-) - fr-68154;Basel - Bâle-Ville - ch-2701;fr-68154;ch-2701;343.6107951
Illzach - Rhin (Haut-) - fr-68154;Riehen - Bâle-Ville - ch-2703;fr-68154;ch-2703;6.782840023
Illzach - Rhin (Haut-) - fr-68154;Alle - Jura - ch-6771;fr-68154;ch-6771;1.282286451
Illzach - Rhin (Haut-) - fr-68154;Boncourt - Jura - ch-6774;fr-68154;ch-6774;3.54991478
Illzach - Rhin (Haut-) - fr-68154;Courgenay - Jura - ch-6784;fr-68154;ch-6784;1.120517448
Illzach - Rhin (Haut-) - fr-68154;Delémont - Jura - ch-6711;fr-68154;ch-6711;7.518899121
Illzach - Rhin (Haut-) - fr-68154;Haute-Ajoie - Jura - ch-6809;fr-68154;ch-6809;1.111868787
Illzach - Rhin (Haut-) - fr-68154;Haute-Sorne - Jura - ch-6729;fr-68154;ch-6729;2.341301716
Illzach - Rhin (Haut-) - fr-68154;Le Noirmont - Jura - ch-6754;fr-68154;ch-6754;2.199412772
Illzach - Rhin (Haut-) - fr-68154;Porrentruy - Jura - ch-6800;fr-68154;ch-6800;6.784130643
Illzach - Rhin (Haut-) - fr-68154;Saignelégier - Jura - ch-6757;fr-68154;ch-6757;0.908614718
Ingersheim - Rhin (Haut-) - fr-68155;Basel - Bâle-Ville - ch-2701;fr-68155;ch-2701;4.194387105
Issenheim - Rhin (Haut-) - fr-68156;Basel - Bâle-Ville - ch-2701;fr-68156;ch-2701;8.289187161
Jebsheim - Rhin (Haut-) - fr-68157;Basel - Bâle-Ville - ch-2701;fr-68157;ch-2701;1.267964994
Jettingen - Rhin (Haut-) - fr-68158;Basel - Bâle-Ville - ch-2701;fr-68158;ch-2701;3.913162577
Jungholtz - Rhin (Haut-) - fr-68159;Basel - Bâle-Ville - ch-2701;fr-68159;ch-2701;2.114035353
Kappelen - Rhin (Haut-) - fr-68160;Basel - Bâle-Ville - ch-2701;fr-68160;ch-2701;15.16295203
Kaysersberg Vignoble - Rhin (Haut-) - fr-68162;Basel - Bâle-Ville - ch-2701;fr-68162;ch-2701;4.070162174
Kembs - Rhin (Haut-) - fr-68163;Basel - Bâle-Ville - ch-2701;fr-68163;ch-2701;136.9317066
Kembs - Rhin (Haut-) - fr-68163;Riehen - Bâle-Ville - ch-2703;fr-68163;ch-2703;2.703017114
Kembs - Rhin (Haut-) - fr-68163;Boncourt - Jura - ch-6774;fr-68163;ch-6774;1.414670016
Kembs - Rhin (Haut-) - fr-68163;Delémont - Jura - ch-6711;fr-68163;ch-6711;2.996342673
Kembs - Rhin (Haut-) - fr-68163;Haute-Sorne - Jura - ch-6729;fr-68163;ch-6729;0.933027845
Kembs - Rhin (Haut-) - fr-68163;Porrentruy - Jura - ch-6800;fr-68163;ch-6800;2.703531437
Kiffis - Rhin (Haut-) - fr-68165;Basel - Bâle-Ville - ch-2701;fr-68165;ch-2701;1.481898644
Kingersheim - Rhin (Haut-) - fr-68166;Basel - Bâle-Ville - ch-2701;fr-68166;ch-2701;319.2950391
Kingersheim - Rhin (Haut-) - fr-68166;Riehen - Bâle-Ville - ch-2703;fr-68166;ch-2703;6.302849623
Kingersheim - Rhin (Haut-) - fr-68166;Alle - Jura - ch-6771;fr-68166;ch-6771;1.191544935
Kingersheim - Rhin (Haut-) - fr-68166;Boncourt - Jura - ch-6774;fr-68166;ch-6774;3.298703634
Kingersheim - Rhin (Haut-) - fr-68166;Courgenay - Jura - ch-6784;fr-68166;ch-6784;1.04122358
